interactor1	interactor2	interactor1_canon	interactor2_canon	query_term1	query_term2	organism	int_type
PA1750	PA1901	Q9I2Y7	O33408	Q9I2Y7_PSEAE	Q7DC82_PSEAE	bacteria	interacts
PA1750	PA2943	Q9I2Y7	Q9HZQ4	Q9I2Y7_PSEAE	Q9HZQ4_PSEAE	bacteria	interacts
PA1750	PA2843	Q9I2Y7	Q9I000	Q9I2Y7_PSEAE	Q9I000_PSEAE	bacteria	interacts
PA1871	PA3478	P14789	Q9HYD1	LASA_PSEAE	Q9HYD1_PSEAE	bacteria	interacts
PA1871	PA2939	P14789	Q9HZQ8	LASA_PSEAE	LAP_PSEAE	bacteria	interacts
PA1871	PA2570	P14789	Q05097	LASA_PSEAE	PA1L_PSEAE	bacteria	interacts
PA1871	PA1901	P14789	O33408	LASA_PSEAE	Q7DC82_PSEAE	bacteria	interacts
PA1871	PA1903	P14789	O33410	LASA_PSEAE	Q7DC81_PSEAE	bacteria	interacts
PA1871	PA3724	P14789	P14756	LASA_PSEAE	ELAS_PSEAE	bacteria	interacts
PA1871	PA3479	P14789	Q51559	LASA_PSEAE	RHLA_PSEAE	bacteria	interacts
PA1871	PA3477	P14789	P54292	LASA_PSEAE	RHLR_PSEAE	bacteria	interacts
PA1871	PA3361	P14789	Q9HYN5	LASA_PSEAE	Q9HYN5_PSEAE	bacteria	interacts
PA1871	PA4210	P14789	Q9HWH1	LASA_PSEAE	PHZA1_PSEAE	bacteria	interacts
PA1871	PA3476	P14789	P54291	LASA_PSEAE	RHLI_PSEAE	bacteria	interacts
PA1871	PA2587	P14789	Q9I0Q0	LASA_PSEAE	PQSH_PSEAE	bacteria	interacts
PA1871	PA4211	P14789	O69753	LASA_PSEAE	PHZB1_PSEAE	bacteria	interacts
PA1871	PA1902	P14789	P0DPB9	LASA_PSEAE	PHZD1_PSEAE	bacteria	interacts
PA1994		Q9I2B5		Q9I2B5_PSEAE		bacteria	interacts
PA3810	PA4385	Q51382	P30718	HSCA_PSEAE	CH60_PSEAE	bacteria	interacts
PA3810	PA4256	Q51382	Q9HWE2	HSCA_PSEAE	RL16_PSEAE	bacteria	interacts
PA3810	PA4253	Q51382	Q9HWE5	HSCA_PSEAE	RL14_PSEAE	bacteria	interacts
PA1510		Q9I3K2		Q9I3K2_PSEAE		bacteria	interacts
PA0300	PA0606	Q9I6J1	Q9I5T2	SPUD_PSEAE	Q9I5T2_PSEAE	bacteria	interacts
PA0300	PA0605	Q9I6J1	Q9I5T3	SPUD_PSEAE	Q9I5T3_PSEAE	bacteria	interacts
PA0300	PA0301	Q9I6J1	Q9I6J0	SPUD_PSEAE	SPUE_PSEAE	bacteria	interacts
PA1633	PA1634	P57683	P57698	KDPA_PSEAE	KDPB_PSEAE	bacteria	interacts
PA1633	PA1636	P57683	Q9I389	KDPA_PSEAE	Q9I389_PSEAE	bacteria	interacts
PA1633	PA1637	P57683	Q9I388	KDPA_PSEAE	Q9I388_PSEAE	bacteria	interacts
PA1633	PA1635	P57683	P57686	KDPA_PSEAE	KDPC_PSEAE	bacteria	interacts
PA0301	PA0605	Q9I6J0	Q9I5T3	SPUE_PSEAE	Q9I5T3_PSEAE	bacteria	interacts
PA0301	PA0606	Q9I6J0	Q9I5T2	SPUE_PSEAE	Q9I5T2_PSEAE	bacteria	interacts
PA2843	PA2943	Q9I000	Q9HZQ4	Q9I000_PSEAE	Q9HZQ4_PSEAE	bacteria	interacts
PA0423		Q9I690		Y423_PSEAE		bacteria	interacts
PA3930	PA4133	G3XCW8	Q9HWP8	G3XCW8_PSEAE	Q9HWP8_PSEAE	bacteria	interacts
PA1632	PA1635	Q9I390	P57686	Q9I390_PSEAE	KDPC_PSEAE	bacteria	interacts
PA1632	PA1636	Q9I390	Q9I389	Q9I390_PSEAE	Q9I389_PSEAE	bacteria	interacts
PA1632	PA1637	Q9I390	Q9I388	Q9I390_PSEAE	Q9I388_PSEAE	bacteria	interacts
PA1632	PA5570	Q9I390	P29436	Q9I390_PSEAE	RL34_PSEAE	bacteria	interacts
PA1632	PA1633	Q9I390	P57683	Q9I390_PSEAE	KDPA_PSEAE	bacteria	interacts
PA1632	PA1634	Q9I390	P57698	Q9I390_PSEAE	KDPB_PSEAE	bacteria	interacts
PA1874	PA4648	Q9I2M3	Q9HVE4	Q9I2M3_PSEAE	Q9HVE4_PSEAE	bacteria	interacts
PA1874	PA4651	Q9I2M3	Q9HVE1	Q9I2M3_PSEAE	Q9HVE1_PSEAE	bacteria	interacts
PA0425	PA2526	P52477	Q9I0V7	MEXA_PSEAE	Q9I0V7_PSEAE	bacteria	interacts
PA0425	PA2019	P52477	G3XD21	MEXA_PSEAE	G3XD21_PSEAE	bacteria	interacts
PA0425	PA0427	P52477	Q51487	MEXA_PSEAE	OPRM_PSEAE	bacteria	interacts
PA0425	PA4207	P52477	Q9HWH4	MEXA_PSEAE	Q9HWH4_PSEAE	bacteria	interacts
PA0425	PA0958	P52477	P32722	MEXA_PSEAE	PORD_PSEAE	bacteria	interacts
PA0425	PA0426	P52477	P52002	MEXA_PSEAE	MEXB_PSEAE	bacteria	interacts
PA0425	PA4974	P52477	Q7DGD6	MEXA_PSEAE	Q9HUJ1_PSEAE	bacteria	interacts
PA0425	PA4144	P52477	Q9HWN7	MEXA_PSEAE	Q9HWN7_PSEAE	bacteria	interacts
PA0425	PA2018	P52477	G3XCW2	MEXA_PSEAE	G3XCW2_PSEAE	bacteria	interacts
PA1635	PA1636	P57686	Q9I389	KDPC_PSEAE	Q9I389_PSEAE	bacteria	interacts
PA1635	PA1637	P57686	Q9I388	KDPC_PSEAE	Q9I388_PSEAE	bacteria	interacts
PA1634	PA1636	P57698	Q9I389	KDPB_PSEAE	Q9I389_PSEAE	bacteria	interacts
PA1634	PA1635	P57698	P57686	KDPB_PSEAE	KDPC_PSEAE	bacteria	interacts
PA1634	PA1637	P57698	Q9I388	KDPB_PSEAE	Q9I388_PSEAE	bacteria	interacts
PA1637	PA2480	Q9I388	Q9I102	Q9I388_PSEAE	Q9I102_PSEAE	bacteria	interacts
PA1637	PA2810	Q9I388	Q9I033	Q9I388_PSEAE	Q9I033_PSEAE	bacteria	interacts
PA1637	PA2524	Q9I388	Q9I0V9	Q9I388_PSEAE	Q9I0V9_PSEAE	bacteria	interacts
PA1637	PA3271	Q9I388	Q9HYX0	Q9I388_PSEAE	Q9HYX0_PSEAE	bacteria	interacts
PA1637	PA3946	Q9I388	Q9HX70	Q9I388_PSEAE	Q9HX70_PSEAE	bacteria	interacts
PA1637	PA1798	Q9I388	Q9I2U4	Q9I388_PSEAE	Q9I2U4_PSEAE	bacteria	interacts
PA1637	PA4112	Q9I388	Q9HWR8	Q9I388_PSEAE		bacteria	interacts
PA1637	PA5361	Q9I388	P23621	Q9I388_PSEAE	PHOR_PSEAE	bacteria	interacts
PA1637	PA4886	Q9I388	Q9HUS7	Q9I388_PSEAE	Q9HUS7_PSEAE	bacteria	interacts
PA0427	PA4974	Q51487	Q7DGD6	OPRM_PSEAE	Q9HUJ1_PSEAE	bacteria	interacts
PA0427	PA4144	Q51487	Q9HWN7	OPRM_PSEAE	Q9HWN7_PSEAE	bacteria	interacts
PA0427	PA1777	Q51487	P13794	OPRM_PSEAE	PORF_PSEAE	bacteria	interacts
PA0427	PA1799	Q51487	Q9I2U3	OPRM_PSEAE	Q9I2U3_PSEAE	bacteria	interacts
PA0427	PA2019	Q51487	G3XD21	OPRM_PSEAE	G3XD21_PSEAE	bacteria	interacts
PA0427	PA0958	Q51487	P32722	OPRM_PSEAE	PORD_PSEAE	bacteria	interacts
PA0427	PA4268	Q51487	Q9HWD0	OPRM_PSEAE	RS12_PSEAE	bacteria	interacts
PA0427	PA2018	Q51487	G3XCW2	OPRM_PSEAE	G3XCW2_PSEAE	bacteria	interacts
PA0427	PA4109	Q51487	P24734	OPRM_PSEAE	AMPR_PSEAE	bacteria	interacts
PA0427	PA1430	Q51487	P25084	OPRM_PSEAE	LASR_PSEAE	bacteria	interacts
PA1636	PA1637	Q9I389	Q9I388	Q9I389_PSEAE	Q9I388_PSEAE	bacteria	interacts
PA0426	PA0958	P52002	P32722	MEXB_PSEAE	PORD_PSEAE	bacteria	interacts
PA0426	PA2018	P52002	G3XCW2	MEXB_PSEAE	G3XCW2_PSEAE	bacteria	interacts
PA0426	PA2019	P52002	G3XD21	MEXB_PSEAE	G3XD21_PSEAE	bacteria	interacts
PA0426	PA2050	P52002	Q9I265	MEXB_PSEAE	Q9I265_PSEAE	bacteria	interacts
PA0426	PA4144	P52002	Q9HWN7	MEXB_PSEAE	Q9HWN7_PSEAE	bacteria	interacts
PA0426	PA2528	P52002	Q9I0V5	MEXB_PSEAE	Q9I0V5_PSEAE	bacteria	interacts
PA0426	PA0427	P52002	Q51487	MEXB_PSEAE	OPRM_PSEAE	bacteria	interacts
PA0426	PA4974	P52002	Q7DGD6	MEXB_PSEAE	Q9HUJ1_PSEAE	bacteria	interacts
PA0426	PA4268	P52002	Q9HWD0	MEXB_PSEAE	RS12_PSEAE	bacteria	interacts
PA3818	PA4270	Q9HXI4	Q51561	SUHB_PSEAE		bacteria	interacts
PA1638	PA2040	Q9I387	Q9I275	GLSA_PSEAE	Q9I275_PSEAE	bacteria	interacts
