interactor1	interactor2	interactor1_canon	interactor2_canon	query_term1	query_term2	organism	int_type
9606.ENSP00000404190	9606.ENSP00000497733	Q9H0H5	P60953	RGAP1_HUMAN	CDC42_HUMAN	human	interacts
9606.ENSP00000404190	9606.ENSP00000481380	Q9H0H5	P20248	RGAP1_HUMAN	CCNA2_HUMAN	human	interacts
9606.ENSP00000404190	9606.ENSP00000414109	Q9H0H5	Q8NCD3	RGAP1_HUMAN	HJURP_HUMAN	human	interacts
9606.ENSP00000364883	9606.ENSP00000499074	Q13825	P26440	AUHM_HUMAN	IVD_HUMAN	human	interacts
9606.ENSP00000364883	9606.ENSP00000381785	Q13825	Q6YN16	AUHM_HUMAN	HSDL2_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000478887	Q9Y618	P01106	NCOR2_HUMAN	MYC_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000385216	Q9Y618	Q7KYV3	NCOR2_HUMAN	NCOA1_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000440864	Q9Y618	P22736	NCOR2_HUMAN	NR4A1_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000447149	Q9Y618	Q96RI1	NCOR2_HUMAN	NR1H4_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000388107	Q9Y618	Q9UPK7	NCOR2_HUMAN	RL40_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000499121	Q9Y618	P55055	NCOR2_HUMAN	NR1H2_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000405330	Q9Y618	P03372	NCOR2_HUMAN	ESR1_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000399982	Q9Y618	P49848	NCOR2_HUMAN	TAF6_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000451129	Q9Y618	Q13573	NCOR2_HUMAN	SNW1_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000419692	Q9Y618	P19793	NCOR2_HUMAN	RXRA_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000399968	Q9Y618	Q15596	NCOR2_HUMAN	NCOA2_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000402257	Q9Y618	Q6IBL1	NCOR2_HUMAN	MTG8_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000384371	Q9Y618	P41182	NCOR2_HUMAN	BCL6_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000430432	Q9Y618	Q92769	NCOR2_HUMAN	HDAC2_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000477707	Q9Y618	Q13133	NCOR2_HUMAN	NR1H3_HUMAN	human	interacts
9606.ENSP00000384018	9606.ENSP00000498587	Q9Y618	P46531	NCOR2_HUMAN	NOTC1_HUMAN	human	interacts
9606.ENSP00000361383		Q9BQI0		AIF1L_HUMAN		human	interacts
9606.ENSP00000371175	9606.ENSP00000445408	Q9UJY5	Q15276	GGA1_HUMAN	RABE1_HUMAN	human	interacts
9606.ENSP00000371175	9606.ENSP00000438085	Q9UJY5	Q9NZ52	GGA1_HUMAN	GGA3_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000432472	Q9UQB8	Q8WUW1	BAIP2_HUMAN	BRK1_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000355809	Q9UQB8	Q8N8S7	BAIP2_HUMAN	ENAH_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000497733	Q9UQB8	P60953	BAIP2_HUMAN	CDC42_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000362680	Q9UQB8	P12931	BAIP2_HUMAN		human	interacts
9606.ENSP00000316338	9606.ENSP00000451828	Q9UQB8	P31749	BAIP2_HUMAN		human	interacts
9606.ENSP00000316338	9606.ENSP00000494750	Q9UQB8	P60709	BAIP2_HUMAN		human	interacts
9606.ENSP00000316338	9606.ENSP00000481038	Q9UQB8	Q7L576	BAIP2_HUMAN	CYFP1_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000348461	Q9UQB8	P63000	BAIP2_HUMAN	RAC1_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000376367	Q9UQB8	Q92558	BAIP2_HUMAN	WASF1_HUMAN	human	interacts
9606.ENSP00000316338	9606.ENSP00000371267	Q9UQB8	P27348	BAIP2_HUMAN	1433T_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000354923	P07942	Q02295	LAMB1_HUMAN	DMD_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000379350	P07942	Q13090	LAMB1_HUMAN	ITB1_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000258341	P07942	P11047	LAMB1_HUMAN	LAMC1_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000380227	P07942	P13612	LAMB1_HUMAN	ITA4_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000341189	P07942	Q05397	LAMB1_HUMAN	FAK1_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000452786	P07942	P05106	LAMB1_HUMAN	ITB3_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000252999	P07942	O15230	LAMB1_HUMAN	LAMA5_HUMAN	human	interacts
9606.ENSP00000222399	9606.ENSP00000296585	P07942	P17301	LAMB1_HUMAN	ITA2_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000426983	P35398	O15516	RORA_HUMAN	CLOCK_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000306245	P35398	P01100	RORA_HUMAN	FOS_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000327025	P35398	P51449	RORA_HUMAN	RORG_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000450607	P35398	Q9UNS1	RORA_HUMAN	TIM_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000264867	P35398	Q9UBK2	RORA_HUMAN	PRGC1_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000384517	P35398	O00327	RORA_HUMAN	BMAL1_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000263253	P35398	Q09472	RORA_HUMAN	EP300_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000437955	P35398	Q16665	RORA_HUMAN	HIF1A_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000348069	P35398	Q8TAK9	RORA_HUMAN	SRBP1_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000380044	P35398	P49674	RORA_HUMAN	KC1E_HUMAN	human	interacts
9606.ENSP00000261523	9606.ENSP00000368966	P35398	Q13507	RORA_HUMAN	TRPC3_HUMAN	human	interacts
9606.ENSP00000441126	9606.ENSP00000482543	O43677	P56556	NDUC1_HUMAN	NDUA6_HUMAN	human	interacts
9606.ENSP00000441126	9606.ENSP00000467262	O43677	O14957	NDUC1_HUMAN	QCR10_HUMAN	human	interacts
9606.ENSP00000441126	9606.ENSP00000458770	O43677	O14561	NDUC1_HUMAN	ACPM_HUMAN	human	interacts
9606.ENSP00000441126	9606.ENSP00000483888	O43677	O75438	NDUC1_HUMAN	NDUB1_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000292614	Q9H6T3	P52435	RPAP3_HUMAN	RPB11_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000318297	Q9H6T3	Q9Y265	RPAP3_HUMAN	RUVB1_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000385725	Q9H6T3	P61218	RPAP3_HUMAN	RPAB2_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000437125	Q9H6T3	P11142	RPAP3_HUMAN	HSP7C_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000335153	Q9H6T3	P07900	RPAP3_HUMAN	HS90A_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000298552	Q9H6T3	Q92574	RPAP3_HUMAN	TSC1_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000473172	Q9H6T3	Q9Y230	RPAP3_HUMAN	RUVB2_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000266987	Q9H6T3	Q15633	RPAP3_HUMAN	TRBP2_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000360609	Q9H6T3	P08238	RPAP3_HUMAN	HS90B_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000370625	Q9H6T3	P30876	RPAP3_HUMAN	RPB2_HUMAN	human	interacts
9606.ENSP00000005386	9606.ENSP00000324124	Q9H6T3	P62875	RPAP3_HUMAN	RPAB5_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000442424	Q9UCS0	Q9GZX6	IL8_HUMAN	IL22_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000495360	Q9UCS0	P35222	IL8_HUMAN	CTNB1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000308938	Q9UCS0	P00747	IL8_HUMAN	PLMN_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000496355	Q9UCS0	O60602	IL8_HUMAN	TLR5_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000497910	Q9UCS0	P61769	IL8_HUMAN	B2MG_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000481570	Q9UCS0	P21580	IL8_HUMAN	TNAP3_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000357721	Q9UCS0	P05109	IL8_HUMAN	S10A8_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000327513	Q9UCS0	P09603	IL8_HUMAN	CSF1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000357726	Q9UCS0	P80511	IL8_HUMAN	S10AC_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000336790	Q9UCS0	P18848	IL8_HUMAN	ATF4_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000497260	Q9UCS0	Q9UGA4	IL8_HUMAN	GNAI1_HUMAN	human	interacts
9606.ENSP00000306512	9606.ENSP00000451828	Q9UCS0	P31749	IL8_HUMAN		human	interacts
